delta 1.0
u 0 0.0 0.0
x 0 0.0 0.0 0.0
z 0 264 2.454497334081522 -1.2764056161259947
z 0 379 8.209912506890493 2.328800541060339
z 0 565 6.028039511636967 1.5218994483659358
z 0 1058 5.235942411342845 -0.7858815001521595
z 0 1318 3.1579246962415266 0.9726899788197443
z 0 1555 7.091749236685061 1.1479426847756784
z 0 1582 3.917481738361841 -2.382808934867985
z 0 1766 7.753343266923404 -1.2378161257296867
z 0 1989 3.320623501959311 2.6893465666259297
z 0 2792 7.436544265811094 2.5411784307123737
z 0 2874 4.909825259361734 -1.4462431690970179
z 0 2903 7.319753835582842 -0.030805758005653328
z 0 4620 6.162656490186684 1.9878071835813493
z 0 6123 4.78264611660762 -0.15636848690754812
z 0 6865 5.594708404662214 -1.1017667837614757
z 0 7613 7.539046248938504 2.4191860458477983
z 0 7808 8.271383113337196 -2.8137938679778554
z 0 7822 4.506978569338645 2.6008944942099568
z 0 7884 5.700763923334128 -1.8146672944420559
z 0 8875 7.517798178111041 -1.0859544863186623
z 0 8893 3.9583494420931404 -1.4845125250880153
z 0 9376 6.552709215619367 -0.36945079106916534
z 0 9466 6.4076147130546754 0.6403660490014116
z 0 10432 2.8629299842489475 0.16637777580654367
z 0 11058 7.842269958665918 1.5732142435208765
z 0 11189 8.390634315838845 1.6602364240357268
z 0 11448 8.319758751622823 2.5794586681183924
z 0 12205 5.4432629302289275 -1.9410933110303332
z 0 13486 7.404627214443577 0.7345951785555882
z 0 13565 7.038522512343142 -1.7478530738412004
z 0 13937 6.864825493057946 0.8166094720298789
z 0 14408 5.864458498331677 -0.348597339230734
z 0 15425 3.725477548302535 -0.6399836866108828
z 0 16429 1.032389119724011 1.696915382633744
u 1 0.9833183689989891 -0.00937878208945632
x 1 0.7812213533384101 0.014716124666671064 0.03767020531755527
z 1 264 2.3599165382057765 -1.6765549786237672
z 1 565 6.064673339590227 1.6939747659246622
z 1 1058 4.590234127222168 -0.9279177879550788
z 1 1318 2.7324935318359533 1.2850179067090393
z 1 1555 6.752498148799923 1.2907923536034218
z 1 1582 4.677543232454302 -2.5193005593500537
z 1 1766 7.4853027684787925 -1.3527046531992764
z 1 1989 4.228555715418237 2.7995316301325044
z 1 2296 8.359564053662822 0.3116371675587022
z 1 2792 8.2689035202843 2.6173323161858395
z 1 2874 4.88147745520001 -1.6379752298430494
z 1 2903 6.336826418527779 -0.02547912420173315
z 1 4620 6.626158031534696 2.133001461742251
z 1 6123 3.813516449133229 -0.18596021146401398
z 1 6865 5.219984927083 -1.26081393301363
z 1 7613 8.305002736395796 2.5065116703827908
z 1 7822 5.375894474424697 2.703824322882082
z 1 7884 6.010129532114949 -1.9649175516755786
z 1 8875 7.108603198183547 -1.1989623379182313
z 1 8893 3.9910179315140852 -1.7230279730882891
z 1 9376 5.644996728467948 -0.422251047635406
